INFO 03:31:41: Loading World
INFO 03:31:41: Making Window
INFO 03:31:41: Creating Threads
INFO 03:31:41: Starting Threads
INFO 03:31:41: Making Agents
INFO 03:36:15: Gen 3 Best: 31.20, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:36:16: Gen 4 Best: 29.00, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:36:17: Gen 5 Best: 24.40, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:36:18: Gen 6 Best: 87.20, Median: 1.00, 75th: 0.00, Best Passes: 6, Median Passes: 0
INFO 03:36:20: Gen 7 Best: 41.40, Median: 10.40, 75th: 0.00, Best Passes: 3, Median Passes: 0
INFO 03:36:21: Gen 8 Best: 47.60, Median: 10.40, 75th: 0.00, Best Passes: 2, Median Passes: 0
INFO 03:36:22: Gen 9 Best: 51.20, Median: 11.60, 75th: 0.00, Best Passes: 3, Median Passes: 0
INFO 03:36:23: Gen 10 Best: 54.60, Median: 13.20, 75th: 2.00, Best Passes: 5, Median Passes: 0
INFO 03:36:25: Gen 11 Best: 56.60, Median: 13.80, 75th: 6.00, Best Passes: 5, Median Passes: 0
INFO 03:36:26: Gen 12 Best: 30.40, Median: 13.80, 75th: 8.00, Best Passes: 0, Median Passes: 0
INFO 03:36:28: Gen 13 Best: 58.20, Median: 14.40, 75th: 9.80, Best Passes: 6, Median Passes: 0
INFO 03:36:29: Gen 14 Best: 54.00, Median: 14.40, 75th: 11.80, Best Passes: 4, Median Passes: 0
INFO 03:36:31: Gen 15 Best: 49.20, Median: 13.40, 75th: 9.00, Best Passes: 4, Median Passes: 0
INFO 03:36:32: Gen 16 Best: 58.60, Median: 14.20, 75th: 8.80, Best Passes: 5, Median Passes: 0
INFO 03:36:34: Gen 17 Best: 59.80, Median: 15.40, 75th: 11.20, Best Passes: 4, Median Passes: 0
INFO 03:36:35: Gen 18 Best: 47.60, Median: 15.00, 75th: 11.80, Best Passes: 2, Median Passes: 0
INFO 03:36:36: Gen 19 Best: 47.40, Median: 15.80, 75th: 13.40, Best Passes: 2, Median Passes: 0
INFO 03:36:38: Gen 20 Best: 55.40, Median: 13.80, 75th: 10.80, Best Passes: 3, Median Passes: 0
INFO 03:36:39: Gen 21 Best: 30.40, Median: 14.80, 75th: 10.20, Best Passes: 0, Median Passes: 0
INFO 03:36:41: Gen 22 Best: 69.40, Median: 16.00, 75th: 10.20, Best Passes: 6, Median Passes: 0
INFO 03:36:42: Gen 23 Best: 52.20, Median: 14.00, 75th: 9.40, Best Passes: 3, Median Passes: 0
INFO 03:36:44: Gen 24 Best: 45.40, Median: 13.60, 75th: 11.00, Best Passes: 2, Median Passes: 0
INFO 03:36:45: Gen 25 Best: 51.60, Median: 14.00, 75th: 11.40, Best Passes: 3, Median Passes: 0
INFO 03:36:47: Gen 26 Best: 32.40, Median: 14.60, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:36:48: Gen 27 Best: 29.20, Median: 15.20, 75th: 11.00, Best Passes: 0, Median Passes: 0
INFO 03:36:49: Gen 28 Best: 31.80, Median: 14.00, 75th: 11.00, Best Passes: 0, Median Passes: 0
INFO 03:36:51: Gen 29 Best: 31.20, Median: 14.40, 75th: 10.20, Best Passes: 0, Median Passes: 0
INFO 03:36:52: Gen 30 Best: 28.40, Median: 13.80, 75th: 11.00, Best Passes: 0, Median Passes: 0
INFO 03:36:54: Gen 31 Best: 89.80, Median: 15.00, 75th: 11.20, Best Passes: 5, Median Passes: 0
