INFO 03:31:41: Loading World
INFO 03:31:41: Creating Threads
INFO 03:31:41: Starting Threads
INFO 03:31:41: Making Agents
INFO 03:35:51: Gen 9 Best: 27.60, Median: 14.80, 75th: 11.80, Best Passes: 0, Median Passes: 0
INFO 03:35:52: Gen 10 Best: 27.00, Median: 15.80, 75th: 12.80, Best Passes: 0, Median Passes: 0
INFO 03:35:53: Gen 11 Best: 31.60, Median: 16.80, 75th: 12.60, Best Passes: 0, Median Passes: 0
INFO 03:35:54: Gen 12 Best: 29.00, Median: 15.20, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:35:56: Gen 13 Best: 30.40, Median: 14.80, 75th: 11.80, Best Passes: 0, Median Passes: 0
INFO 03:35:57: Gen 14 Best: 26.40, Median: 16.60, 75th: 13.40, Best Passes: 0, Median Passes: 0
INFO 03:35:58: Gen 15 Best: 32.60, Median: 15.40, 75th: 12.20, Best Passes: 0, Median Passes: 0
INFO 03:36:00: Gen 16 Best: 28.20, Median: 16.20, 75th: 12.00, Best Passes: 0, Median Passes: 0
INFO 03:36:01: Gen 17 Best: 29.00, Median: 15.80, 75th: 11.20, Best Passes: 0, Median Passes: 0
INFO 03:36:02: Gen 18 Best: 31.00, Median: 14.00, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:36:03: Gen 19 Best: 30.40, Median: 16.20, 75th: 13.20, Best Passes: 0, Median Passes: 0
INFO 03:36:05: Gen 20 Best: 33.80, Median: 14.60, 75th: 12.20, Best Passes: 0, Median Passes: 0
INFO 03:36:06: Gen 21 Best: 38.00, Median: 16.20, 75th: 12.60, Best Passes: 0, Median Passes: 0
INFO 03:36:07: Gen 22 Best: 27.40, Median: 15.60, 75th: 12.60, Best Passes: 0, Median Passes: 0
INFO 03:36:09: Gen 23 Best: 29.40, Median: 15.20, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:36:10: Gen 24 Best: 30.60, Median: 16.20, 75th: 12.80, Best Passes: 0, Median Passes: 0
INFO 03:36:11: Gen 25 Best: 33.20, Median: 15.20, 75th: 11.00, Best Passes: 0, Median Passes: 0
INFO 03:36:12: Gen 26 Best: 30.00, Median: 16.20, 75th: 12.60, Best Passes: 0, Median Passes: 0
INFO 03:36:14: Gen 27 Best: 30.40, Median: 15.00, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:36:15: Gen 28 Best: 28.40, Median: 15.80, 75th: 10.60, Best Passes: 0, Median Passes: 0
INFO 03:36:16: Gen 29 Best: 31.00, Median: 14.20, 75th: 11.20, Best Passes: 0, Median Passes: 0
INFO 03:36:18: Gen 30 Best: 27.40, Median: 14.60, 75th: 11.60, Best Passes: 0, Median Passes: 0
INFO 03:36:19: Gen 31 Best: 24.00, Median: 14.00, 75th: 12.00, Best Passes: 0, Median Passes: 0
INFO 03:36:20: Gen 32 Best: 26.20, Median: 16.40, 75th: 12.80, Best Passes: 0, Median Passes: 0
INFO 03:36:21: Gen 33 Best: 29.00, Median: 14.20, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:36:23: Gen 34 Best: 27.20, Median: 15.80, 75th: 13.20, Best Passes: 0, Median Passes: 0
INFO 03:36:24: Gen 35 Best: 27.80, Median: 15.20, 75th: 10.00, Best Passes: 0, Median Passes: 0
INFO 03:36:25: Gen 36 Best: 32.00, Median: 14.80, 75th: 12.20, Best Passes: 0, Median Passes: 0
INFO 03:36:26: Gen 37 Best: 34.20, Median: 15.00, 75th: 11.20, Best Passes: 0, Median Passes: 0
INFO 03:36:28: Gen 38 Best: 25.80, Median: 14.60, 75th: 10.80, Best Passes: 0, Median Passes: 0
INFO 03:36:29: Gen 39 Best: 25.80, Median: 15.60, 75th: 12.00, Best Passes: 0, Median Passes: 0
INFO 03:36:30: Gen 40 Best: 28.60, Median: 14.60, 75th: 11.80, Best Passes: 0, Median Passes: 0
INFO 03:36:31: Gen 41 Best: 32.20, Median: 14.20, 75th: 10.60, Best Passes: 0, Median Passes: 0
INFO 03:36:33: Gen 42 Best: 28.80, Median: 15.20, 75th: 11.00, Best Passes: 0, Median Passes: 0
INFO 03:36:34: Gen 43 Best: 34.60, Median: 14.80, 75th: 11.60, Best Passes: 0, Median Passes: 0
INFO 03:36:35: Gen 44 Best: 29.80, Median: 14.60, 75th: 13.00, Best Passes: 0, Median Passes: 0
INFO 03:36:36: Gen 45 Best: 30.20, Median: 16.00, 75th: 13.00, Best Passes: 0, Median Passes: 0
INFO 03:36:38: Gen 46 Best: 29.60, Median: 16.20, 75th: 12.00, Best Passes: 0, Median Passes: 0
INFO 03:36:39: Gen 47 Best: 27.20, Median: 15.20, 75th: 12.60, Best Passes: 0, Median Passes: 0
INFO 03:36:40: Gen 48 Best: 31.80, Median: 14.80, 75th: 10.40, Best Passes: 0, Median Passes: 0
